"성별","연령계층별",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"여자","20 - 29세",58.6,58.8,57.8,58.8,59.4,59.6,59.4,59.6,59.0,56.8
"여자","30 - 39세",53.8,54.6,55.5,56.3,56.9,58.2,59.4,60.7,62.0,61.3
"여자","40 - 49세",64.9,64.6,64.6,65.1,65.7,65.8,66.0,65.7,65.2,63.8
"여자","50 - 59세",57.8,58.2,59.6,61.0,61.8,61.7,62.9,63.5,64.8,63.1
